0.3999,     5.57,       0.387
0.4133,     5.222,      0.269
0.4275,     4.961,      0.203
0.4428,     4.753,      0.163
0.4592,     4.583,      0.13
0.4769,     4.442,      0.09
0.4959,     4.32,       0.073
0.5166,     4.215,      0.06
0.5391,     4.123,      0.048
0.5636,     4.042,      0.032
0.5904,     3.969,      0.03
0.6199,     3.906,      0.022
0.6525,     3.847,      0.016
0.6888,     3.796,      0.013
0.7293,     3.752,      0.01
0.7749,     3.714,      0.008
0.8266,     3.673,      0.005
